code,area_name,cases_per_100k,cases,dates,population,rank,region
S08000015,NHS Ayrshire and Arran,1,4,Jun 24-30,369360,166,Scotland
E06000059,Dorset,1,4,Jun 16-21,378508,167,South West
E06000022,Bath and North East Somerset,1,2,Jun 16-21,193282,168,South West
S08000020,NHS Grampian,1,6,Jun 24-30,585700,169,Scotland
E09000027,Richmond upon Thames,1,2,Jun 16-21,198019,170,London
E10000008,Devon,1,8,Jun 16-21,802375,171,South West
E06000044,Portsmouth,1,2,Jun 16-21,214905,172,South East
E09000022,Lambeth,1,3,Jun 16-21,326034,173,London
N09000006,Fermanagh and Omagh,1,1,Jun 17-23,117397,174,Northern Ireland
W06000009,Pembrokeshire,1,1,Jun 23-29,125818,175,Wales
E06000027,Torbay,1,1,Jun 16-21,136264,176,South West
E06000003,Redcar and Cleveland,1,1,Jun 16-21,137150,177,North East
E06000052,Cornwall and Isles of Scilly,1,4,Jun 16-21,569578,178,South West
W06000012,Neath Port Talbot,1,1,Jun 23-29,143315,179,Wales
N09000009,Mid Ulster,1,1,Jun 17-23,148528,180,Northern Ireland
E10000013,Gloucestershire,1,4,Jun 16-21,637070,181,South West
E06000041,Wokingham,1,1,Jun 16-21,171119,182,South East
S08000029,NHS Fife,1,2,Jun 24-30,373550,183,Scotland
S08000024,NHS Lothian,0,4,Jun 24-30,907580,184,Scotland
W06000011,Swansea,0,1,Jun 23-29,246993,185,Wales
E06000025,South Gloucestershire,0,1,Jun 16-21,285093,186,South West
S08000022,NHS Highland,0,1,Jun 24-30,321700,187,Scotland
E09000001,City of London,0,0,Jun 16-21,9721,188,London
E08000023,South Tyneside,0,0,Jun 16-21,150976,189,North East
E06000037,West Berkshire,0,0,Jun 16-21,158450,190,South East
N09000002,"Armagh City, Banbridge and Craigavon",0,0,Jun 17-23,216205,191,Northern Ireland
N09000005,Derry City and Strabane,0,0,Jun 17-23,151284,192,Northern Ireland
W06000016,Rhondda Cynon Taff,0,0,Jun 23-29,241264,193,Wales
S08000016,NHS Borders,0,0,Jun 24-30,115510,194,Scotland
S08000025,NHS Orkney,0,0,Jun 24-30,22270,195,Scotland
S08000026,NHS Shetland,0,0,Jun 24-30,22920,196,Scotland
S08000028,NHS Western Isles,0,0,Jun 24-30,26720,197,Scotland
