R0,TE,TP,TI1,TI2,nuA,ns,p_home_weekend,alphaTH,etaTH,alphaEP,alphaI1D,alphaHD,alphaI1H,eta,deaths
3.333313945,0.945787637,2.6553024,2.800690353,0.039154915,0.146565678,84.80266341,0.437147931,-0.44519701,0.044649549,-3.406307404,-7.991108106,-2.812494926,-2.403692201,0.026522479,4883
2.826484684,1.334406772,1.959741682,4.142479493,0.338042828,0.675374815,49.78078578,0.098307338,1.253646121,0.013359273,-1.979383902,-4.376135367,-7.349643122,-2.255324744,0.015847623,346
3.007049725,1.869373115,2.826763828,3.405507205,0.282700435,0.657705906,86.54845984,0.542526379,0.449446022,0.028184406,-2.230603798,-10.3547106,-1.923766624,-1.321056237,0.013351959,408
3.755203016,0.480218152,3.095398816,2.942949888,0.412451863,0.691483633,42.40976863,0.62684649,-0.22477284,0.040018309,-2.097808294,-3.314776813,-8.027519344,-2.000537655,0.01580755,15002
3.241513122,1.107050525,2.328718705,3.907016876,0.007184658,0.97503712,69.75023929,0.689982615,0.155226053,0.034851949,-3.181371232,-5.843552074,-9.785326343,-4.592410999,0.035823052,1628
3.541753463,0.222632963,2.137433924,3.822918562,0.206897591,0.564187069,62.43109481,0.192592192,-0.528989405,0.040085397,-2.873529194,-15.75433318,-2.895922719,-3.471576959,0.029115887,8752
3.646500123,1.833061927,3.463652268,2.893255322,0.380628229,0.833012941,16.64336559,0.914459696,0.857139102,0.024134561,-3.839005387,-12.45618631,-3.340067026,-2.346437655,0.027678375,72
2.723679557,1.544095016,2.094568889,2.904775707,0.370167154,0.914611605,81.47339213,0.863932614,0.263541838,0.037413288,-3.234496318,-5.319231339,-5.777456276,-3.155221345,0.029327288,564
2.455761282,0.857081734,2.386737827,3.518050005,0.264694654,0.022799849,29.15875957,0.364285148,0.520096541,0.032277649,-3.004186841,-17.901393,-4.223302628,-3.866940305,0.032964923,206
4.425406746,1.395271346,1.342745368,3.108264785,0.078745481,0.434790846,34.01517048,0.302590414,1.444735059,0.013445007,-2.365997741,-3.23208643,-16.03542472,-1.501403675,0.013655461,20597
3.367793715,1.072227668,2.730246947,3.004319282,0.368649037,0.31387059,12.53327086,0.783771298,0.939781677,0.023502461,-2.725148365,-4.778183268,-19.73051535,-3.568742791,0.026267085,1353
2.943861571,0.671865041,3.295761153,3.766106054,0.194355008,0.756973287,58.86134529,0.804060601,0.994891676,0.01894748,-3.289137673,-4.800095458,-6.952576161,-2.748477184,0.025831564,371
3.456899403,1.892991911,3.863735424,3.10539862,0.31709706,0.266018705,42.01052317,0.619377642,-0.06789682,0.047186314,-3.03774145,-16.49268434,-4.001547572,-3.386121414,0.032178382,91
2.656433663,1.789516685,1.409371827,3.42314637,0.439403657,0.880314201,57.8874914,0.207831603,0.291231964,0.035971249,-1.309906565,-3.6083773,-12.47598594,-2.521101906,0.011142776,982
2.419120017,1.188479133,2.702184121,2.990255349,0.145213756,0.872653485,23.61664424,0.040681127,1.551731223,0.011267528,-2.283361792,-4.573332494,-13.86834643,-2.924484193,0.021331205,129
3.805625214,1.952942045,1.814903506,4.188107808,0.057261297,0.197760884,22.25539229,0.56697873,0.835314273,0.016892159,-1.862135569,-4.985105468,-3.238751474,-3.343863713,0.019216293,1571
2.507766113,0.34121867,3.76763897,4.237508786,0.238335276,0.616114975,38.3870918,0.144219825,0.562757364,0.025377838,-1.944811435,-8.81639836,-2.173232123,-3.030835501,0.017440029,62
2.028280499,1.604475587,3.552617526,3.346020287,0.159000052,0.176030091,40.36943763,0.329315197,0.94201515,0.019719105,-3.244645907,-3.697281222,-5.711361814,-2.859295275,0.028483463,197
2.198085377,0.563362471,3.924039967,3.46654443,0.164470524,0.927806966,97.11155793,0.662426045,0.637495128,0.029952078,-3.081530299,-4.709663146,-18.67545356,-3.081765476,0.025924732,128
2.36599263,1.714344505,2.966421765,3.995164809,0.126500566,0.37916512,79.65544591,0.391624692,-0.150713798,0.036852288,-2.794014834,-8.681157254,-3.626433547,-1.612980386,0.016635598,27
4.12660256,1.502153214,3.498641314,4.471892078,0.181017709,0.761408591,90.12670697,0.500341078,0.415556749,0.036393352,-2.398932534,-11.01699644,-2.99410848,-3.70683017,0.027095484,424
4.220467739,0.73024302,3.715914586,3.659880034,0.104688557,0.999662641,10.26725397,0.419196453,0.833806768,0.02534999,-4.309106292,-14.03882967,-4.281390161,-3.469834267,0.037502117,235
2.30790156,0.813561402,1.823441077,3.604338234,0.083470086,0.452851772,25.25608213,0.983553638,0.77548708,0.027246553,-1.447772358,-4.343281185,-2.737539725,-1.902658401,0.011327164,373
2.212080424,0.130190326,2.598740694,4.099412746,0.137466133,0.337517261,18.52230332,0.29304572,0.324847433,0.030897832,-3.094124732,-10.98648028,-4.180273005,-2.800528072,0.027503861,28
2.292360669,1.019776984,2.457912054,3.267398829,0.06333779,0.589894291,72.49858273,0.24582002,0.449410058,0.03533889,-3.469166621,-15.81154781,-3.791840335,-2.161182179,0.025184742,63
3.425760561,1.276309792,1.699625693,2.849638173,0.298998545,0.518663382,54.0964988,0.972484945,-0.273672195,0.0503195,-2.054443841,-6.747431631,-3.73557584,-3.486280009,0.023283685,2660
2.142115617,1.682202302,2.261130254,4.225491722,0.397454625,0.943139956,53.1674036,0.64548489,-0.199521385,0.037692084,-3.067561021,-6.496698499,-3.632736368,-2.126713882,0.023563694,37
4.464644458,0.610426284,2.16310104,3.80147239,0.021538691,0.71244803,49.03747293,0.938732373,-0.359317607,0.046585547,-3.053883018,-4.971605721,-4.185698378,-3.154751499,0.031262017,27803
2.970405935,1.3547153,3.95512107,4.075729679,0.464143827,0.253519459,27.56691226,0.73820057,0.017066094,0.044986914,-3.086336804,-13.47587688,-3.140088187,-2.212388498,0.025059062,36
4.28756553,0.780529464,3.174945719,4.381493787,0.454381513,0.841847174,64.20814922,0.477358998,-1.214248298,0.084410559,-2.151295965,-7.535758081,-2.341059996,-2.764088276,0.021817935,638
3.96463129,1.292073466,2.914231532,3.289553128,0.27763017,0.058884279,61.56211184,0.495888916,-0.144703484,0.040205893,-3.517888813,-18.12413885,-2.753504082,-2.102656911,0.023453156,2293
3.153196763,1.511876425,2.810917078,4.454705677,0.402912811,0.123957617,45.08410782,0.354878453,-0.532769698,0.055959363,-2.479820491,-4.509111138,-7.274708833,-2.992611915,0.023203357,621
3.074839866,0.911998955,3.367709392,3.175574157,0.343754804,0.546783798,46.84759058,0.001073243,1.34473329,0.017624018,-2.663655139,-14.91031602,-2.453621589,-2.745406876,0.025166479,840
2.580808274,1.621375348,1.307553369,4.322466203,0.253790669,0.818778419,19.72920643,0.445296673,0.015355681,0.034038492,-2.788577209,-16.90283452,-2.489251231,-2.762783729,0.025546921,135
2.606433225,1.162721814,3.224243398,3.986799002,0.358764174,0.00134544,67.02108215,0.584482545,1.389576228,0.019605599,-2.477306181,-4.369325821,-12.59911188,-2.984052376,0.023290275,998
3.66947352,0.17937343,3.152442616,3.209132233,0.215035285,0.206708866,75.53246345,0.840859101,1.116214793,0.020078605,-1.714253269,-9.967581077,-3.55833862,-2.787073647,0.018638387,3826
3.888502024,0.886956854,3.824949558,3.621250279,0.094918706,0.101440482,88.10632572,0.714702599,0.421401239,0.031735482,-3.148371632,-5.400686957,-3.186133146,-2.023913339,0.022366284,2796
4.21955655,0.553702679,1.429022238,4.361632539,0.395304503,0.501342474,40.11094892,0.881821953,1.301264237,0.013450972,-2.555774519,-12.19810816,-2.682207618,-3.040852294,0.02588893,18060
3.978699142,1.897016635,2.404640548,2.825740482,0.200771791,0.411282608,31.83750321,0.729450947,0.028453011,0.0434684,-2.667473584,-5.0385542,-11.78623857,-3.857765885,0.030128761,7167
2.848795736,0.435894573,1.856086991,2.911488877,0.077704996,0.839478822,42.31219537,0.278631956,0.780084081,0.026539571,-3.713097027,-17.6455122,-3.252629985,-2.465863058,0.0267042,1402
2.200845158,0.930270533,3.198785837,4.395081731,0.41171824,0.777770849,30.95915284,0.306537953,0.108626246,0.03306771,-3.184169179,-9.614241964,-4.659002817,-3.825991718,0.03465879,19
3.402606626,1.37562399,1.940887072,3.367005184,0.122450897,0.729957879,95.82042016,0.812004716,0.194248224,0.038574716,-2.003434065,-4.537932613,-13.23283332,-3.305512212,0.022526757,10278
2.96142443,1.533818617,3.063296076,3.760091563,0.267648159,0.223468033,52.74488384,0.987578241,0.761057376,0.03084199,-1.883715564,-4.951556529,-16.32369928,-3.990983201,0.02341876,1027
2.286694774,1.806087364,2.766512641,3.00058431,0.1199747,0.651119889,17.58853643,0.854678856,0.596917917,0.030789144,-2.270088538,-19.86103086,-2.537510693,-2.950240061,0.024542297,57
2.425983223,1.736455084,3.441327224,3.4140362,0.486636277,0.08517722,58.55226784,0.824089545,0.796533344,0.024809872,-2.020299165,-17.41189855,-2.648813234,-3.880884105,0.024101103,122
3.769875188,0.848282885,1.774960872,3.920249932,0.462919809,0.554621898,34.98408124,0.018692526,1.017131435,0.015619091,-1.791229436,-4.39726329,-18.78374858,-2.580057834,0.015637786,6077
2.540020952,1.690521804,3.815287868,2.883016845,0.216223215,0.716720667,61.20161761,0.648142856,0.270694387,0.037243774,-2.847842158,-5.092641516,-8.907056406,-3.424026673,0.030251512,204
3.20788005,0.568546679,3.752512101,3.099193272,0.446539598,0.256341121,94.2190999,0.507462813,-0.087508428,0.03972076,-2.538388968,-2.405978877,-19.02621609,-1.353097328,0.012425367,4648
4.091338949,0.660210102,2.28483985,2.964473798,0.476933372,0.130012224,68.05101246,0.288708983,0.719071046,0.028859394,-2.197312517,-5.642502059,-13.11539828,-3.205239521,0.019458241,5939
2.578589919,0.117471429,2.636223861,3.638912929,0.318963677,0.332048412,90.30208919,0.968763007,-0.333692433,0.045977471,-2.27983113,-3.473415122,-4.827728317,-2.522068299,0.017573476,3021
2.044589917,1.730654505,1.674572752,3.203746332,0.255850995,0.465549409,59.4533881,0.491930077,1.212771127,0.02080961,-2.927055382,-13.81137842,-3.319063741,-1.55225738,0.018141509,42
4.169024041,0.171388937,1.557324081,3.149020947,0.185689157,0.692596081,78.87196615,0.785586033,1.003365111,0.022753665,-2.800167123,-18.81026142,-3.163132216,-2.675009454,0.025371804,21258
3.01378567,0.449331486,2.872331209,4.283691443,0.034389562,0.679638526,72.74512797,0.358099911,0.638333126,0.03037089,-2.533902224,-3.012496193,-7.038756369,-2.901672984,0.021477771,5275
2.172950394,1.099539693,2.248862924,3.503397583,0.355269914,0.96048543,85.62928873,0.368535418,-0.792282681,0.05539753,-2.600834695,-17.19654598,-3.703230663,-3.875504431,0.028026897,28
3.057533641,1.02812738,3.695767402,4.43741421,0.092127986,0.428358868,53.85803689,0.670178686,0.64724927,0.030056995,-2.734419346,-5.998395077,-5.969124821,-3.771697644,0.031979075,315
4.397205727,1.285330599,3.840327034,3.456160996,0.452680634,0.586140484,15.72451311,0.58959508,0.413003643,0.038641502,-3.090691049,-16.60932948,-3.243155223,-1.87485515,0.02119967,97
2.611645361,0.231224112,3.525177562,3.544763822,0.404898141,0.784911909,74.16552605,0.466655223,0.198097365,0.046298548,-3.43209403,-3.784292015,-9.008524181,-2.514382248,0.024777754,595
3.17238888,0.321186048,2.191662449,3.319588007,0.084370553,0.051667978,24.42258536,0.716361109,-0.359766067,0.059977737,-3.55131253,-6.723298638,-3.287718916,-1.525820289,0.017264932,300
2.473672956,0.771489143,3.00607689,4.030929152,0.175240467,0.611761264,96.71303896,0.044806214,0.794398919,0.03171881,-1.326321087,-17.10366886,-1.896589989,-3.044663484,0.012713408,111
3.12304535,1.08647004,3.10586654,3.973937937,0.069488003,0.574943595,26.46957559,0.118931895,0.916348353,0.020379391,-3.415392902,-3.908093319,-10.9554567,-2.992081409,0.028739782,577
2.086404828,1.180761089,2.119145557,2.856336815,0.236685881,0.167504475,85.33580837,0.143359866,0.886468,0.023343412,-2.869977302,-18.45606255,-2.229757063,-1.711940882,0.018384677,350
3.60590205,1.588913929,3.422711021,4.216441476,0.015390032,0.004466797,49.49142677,0.178740174,0.906777745,0.022769005,-3.285972478,-18.60597595,-3.52016291,-3.028503613,0.026587787,380
3.816693152,0.982191017,2.349156615,3.885486935,0.37213289,0.208900183,89.00350509,0.080066657,1.180363029,0.017456179,-3.705224696,-6.769154803,-2.827092278,-2.083128278,0.023091855,2289
2.673666056,0.3613661,2.792271381,3.943868143,0.431905754,0.152267558,12.36618015,0.609011647,0.700417486,0.028725979,-1.938170103,-5.431200387,-11.2076895,-4.009920836,0.02521425,598
3.890558717,0.503470409,3.960801493,3.13965822,0.048239748,0.367269825,63.13337597,0.242109544,0.512706456,0.023750111,-1.514304833,-4.339641769,-11.83496222,-2.968071534,0.015005987,10325
2.907016584,1.862337472,2.660304661,3.275549454,0.302834405,0.19599335,14.70566666,0.209876909,0.529622217,0.027501351,-1.31825469,-3.688271501,-10.51992021,-2.35124175,0.011314519,359
3.525412688,1.482353539,1.286358839,4.23336045,0.328614693,0.357824024,77.5351934,0.951221822,0.578511262,0.034338509,-3.929751577,-4.008441751,-5.16814628,-2.789431835,0.030968209,4860
2.111215349,0.972957917,2.536013713,4.12681821,0.360307276,0.457546322,99.4918633,0.620871077,0.834575639,0.025470422,-3.145594805,-4.827572604,-9.960455308,-2.821703345,0.026832685,122
3.921295857,1.456167672,2.473904304,3.044190541,0.429118545,0.533190233,10.68027003,0.128647007,-0.129396936,0.038675549,-3.298597833,-5.728870547,-2.473841115,-1.846599665,0.01946124,400
3.589243854,1.244851046,3.329605011,3.73099792,0.386698182,0.898498079,35.95415783,0.452982265,0.042395649,0.039217062,-2.974877168,-7.3152021,-4.322104691,-3.813215149,0.03099073,134
4.00915432,0.619265714,1.598857565,3.683439799,0.106502141,0.949802602,65.12939912,0.427113471,0.690794038,0.026218366,-2.326700493,-6.55331114,-2.235270253,-1.66609964,0.016145152,14946
3.348709292,1.326183614,3.635584132,4.309315753,0.340689941,0.858914021,70.82271187,0.870294445,1.147207859,0.022808527,-3.015333313,-5.843480342,-7.203250264,-4.528083351,0.036813374,576
2.753977998,0.818021767,1.37058052,4.05918263,0.274749044,0.061572553,20.49002505,0.924110734,-0.764396435,0.055934368,-1.834957427,-9.068462294,-2.782253054,-2.495867258,0.019575705,720
4.294944698,0.392358807,3.248462927,4.021081839,0.054718923,0.114298288,47.71041944,0.570582585,0.621168331,0.026339965,-1.732163976,-17.3539883,-3.673178865,-3.089082651,0.019804501,3376
4.444412332,1.417577178,2.938272713,3.79422531,0.023355641,0.302167815,83.28343163,0.901597308,0.462658207,0.037910588,-1.513031926,-9.833605052,-2.074867057,-2.471694849,0.0159869,4096
4.330314177,1.958058006,1.875271988,3.552834475,0.13251937,0.48219639,92.75532975,0.33374507,0.027543229,0.039132573,-2.78194034,-3.015393251,-4.774541258,-1.725130889,0.017390603,10739
3.487164081,0.191509247,3.915360922,3.384859468,0.2290968,0.811202427,21.43788583,0.769990543,0.291414526,0.036307411,-2.227407592,-11.33428975,-2.214218732,-2.370347511,0.020060734,760
3.720753021,0.869767548,1.71059069,3.023404558,0.496693613,0.870532583,76.06827214,0.558327004,0.853537389,0.025325599,-1.346523893,-3.123636501,-16.79410012,-1.963201669,0.0066023,17383
3.698410035,0.704145951,1.222736229,4.117172019,0.333813628,0.904453492,28.66468998,0.522148292,-0.29655977,0.051084912,-3.359662098,-5.120666239,-14.47379755,-3.655932315,0.032851245,8000
